Simulation,Length_L,Ops_per_eq,N_eq_with_DBZ,Total_DBZ_ops,STD_peak_memory_bytes,STD_avg_mem_per_op,STD_output_bytes,STD_time_s,STD_ops_per_s,STD_eq_completed,DBZ_peak_memory_bytes,DBZ_avg_mem_per_op,DBZ_output_bytes,DBZ_time_s,DBZ_ops_per_s,DBZ_eq_completed
1,5,2,431,498,63667,32.417,14276,0.023192,84683.0,982,63939,31.9695,14484,0.019733,101352.0,1000
2,25,12,967,3052,68761,6.4239,22254,0.081708,131002.0,892,75275,6.2729,24480,0.076359,157152.0,1000
3,45,22,997,5481,67438,3.7246,22496,0.130476,138768.0,823,78838,3.5835,26500,0.108963,201903.0,1000
4,65,32,999,8060,64360,2.7033,21557,0.18372,129588.0,744,81269,2.5397,27594,0.177692,180087.0,1000
5,85,42,1000,10584,60940,2.1753,19997,0.212955,131549.0,667,83093,1.9784,27922,0.196413,213835.0,1000
6,105,52,1000,13155,57675,1.8547,18426,0.260705,119277.0,598,84609,1.6271,28111,0.238606,217932.0,1000
7,125,62,1000,15356,57427,1.6193,17851,0.263442,134618.0,572,86128,1.3892,28213,0.287881,215366.0,1000
8,145,72,1000,18029,54304,1.4906,16284,0.333498,109242.0,506,87635,1.2172,28310,0.345365,208475.0,1000
9,165,82,1000,20611,53149,1.3939,15348,0.368839,103378.0,465,89198,1.0878,28349,0.387244,211753.0,1000
10,185,92,1000,23111,54514,1.2826,15307,0.379685,111945.0,462,90862,0.9876,28424,0.424252,216852.0,1000
11,205,102,1000,25692,50286,1.3182,13164,0.410109,93019.0,374,92637,0.9082,28473,0.481511,211833.0,1000
12,225,112,1000,28030,50713,1.2338,13012,0.421084,97615.0,367,93728,0.8369,28599,0.491143,228039.0,1000
13,245,122,1000,30266,47728,1.3217,11287,0.425828,84804.0,296,95526,0.783,28600,0.561969,217094.0,1000
14,265,132,1000,33064,50102,1.1974,11853,0.481333,86934.0,317,96576,0.7316,28729,0.58284,226477.0,1000
15,285,142,1000,35146,48886,1.2657,10729,0.501122,77075.0,272,98480,0.6935,28715,0.668837,212309.0,1000
16,305,152,1000,37649,49470,1.2282,10587,0.538625,74783.0,265,99521,0.6547,28792,0.719118,211370.0,1000
17,325,162,1000,40248,49140,1.3075,9774,0.601799,62453.0,232,101569,0.627,28872,0.813181,199218.0,1000
18,345,172,1000,43184,47012,1.4616,8661,0.570777,56351.0,187,102627,0.5967,28990,0.812976,211568.0,1000
19,365,182,1000,45286,50050,1.3614,9040,0.593911,61901.0,202,104602,0.5747,28872,0.874761,208057.0,1000
20,385,192,1000,48046,48199,1.569,8006,0.608215,50508.0,160,105615,0.5501,28937,0.847969,226423.0,1000
